city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Kamagaya,35.7769,140.0008,Japan,JP,Chiba,,109370,109370
Sandachō,34.8894,135.2253,Japan,JP,Hyōgo,,109243,109243
Tondabayashichō,34.4992,135.5972,Japan,JP,Ōsaka,,108735,108735
Habikino,34.5578,135.6061,Japan,JP,Ōsaka,,108373,108373
Mineshita,35.1186,138.9186,Japan,JP,Shizuoka,,107416,107416
Tajimi,35.3328,137.1322,Japan,JP,Gifu,,106746,106746
Ikeda,34.8167,135.4333,Japan,JP,Ōsaka,,104148,104148
Toride,35.9114,140.0503,Japan,JP,Ibaraki,,103908,103908
Saijō,33.9196,133.1812,Japan,JP,Ehime,,103760,103760
Inzai,35.8322,140.1458,Japan,JP,Chiba,,103677,103677
Isehara,35.4028,139.3150,Japan,JP,Kanagawa,,102088,102088
Shibuya,35.6536,139.7092,Japan,JP,Tōkyō,,102056,102056
Sakado,35.9572,139.4031,Japan,JP,Saitama,,100829,100829
Chikusei,36.3072,139.9831,Japan,JP,Ibaraki,,99758,99758
Kani,35.4258,137.0611,Japan,JP,Gifu,,99545,99545
Ginowan,26.2817,127.7783,Japan,JP,Okinawa,,99256,99256
Sakata,38.9144,139.8364,Japan,JP,Yamagata,,99235,99235
Saku,36.2489,138.4769,Japan,JP,Nagano,,98292,98292
Kōnan,35.3333,136.8667,Japan,JP,Aichi,,97435,97435
Iida,35.5147,137.8219,Japan,JP,Nagano,,96642,96642
Kamisu,35.8900,140.6647,Japan,JP,Ibaraki,,95471,95471
Kanuma,36.5672,139.7450,Japan,JP,Tochigi,,94591,94591
Azumino,36.3039,137.9056,Japan,JP,Nagano,,93927,93927
Yashio,35.8228,139.8392,Japan,JP,Saitama,,93283,93283
Yotsukaidō,35.6700,140.1683,Japan,JP,Chiba,,93233,93233
Nisshin,35.1333,137.0333,Japan,JP,Aichi,,92823,92823
Hanamaki Onsen,39.3886,141.1167,Japan,JP,Iwate,,92815,92815
Ōbu,35.0167,136.9667,Japan,JP,Aichi,,92562,92562
Higashi-Matsuyama,36.0422,139.4000,Japan,JP,Saitama,,92440,92440
Kitakami,39.2867,141.1131,Japan,JP,Iwate,,92348,92348
Imizuchō,36.7125,137.0994,Japan,JP,Toyama,,90201,90201
Mihara,34.4581,133.0039,Japan,JP,Hiroshima,,89972,89972
Fukuroi,34.7503,137.9250,Japan,JP,Shizuoka,,86851,86851
Mobara,35.4283,140.2881,Japan,JP,Chiba,,86446,86446
Gotenba,35.3086,138.9350,Japan,JP,Shizuoka,,86334,86334
Kitanagoya,35.2500,136.8667,Japan,JP,Aichi,,86060,86060
Sekimachi,35.4958,136.9178,Japan,JP,Gifu,,85636,85636
Yokotemachi,39.3106,140.5533,Japan,JP,Akita,,84556,84556
Ushiku,35.9833,140.1500,Japan,JP,Ibaraki,,84505,84505
Higashiyamato,35.7456,139.4267,Japan,JP,Tōkyō,,84260,84260
Kitakōriyamachō,34.6494,135.7828,Japan,JP,Nara,,84007,84007
Chita,35.0000,136.8667,Japan,JP,Aichi,,83881,83881
Moriyama,35.0589,135.9944,Japan,JP,Shiga,,83567,83567
Nakatsu,33.5983,131.1883,Japan,JP,Fukuoka,,82714,82714
Owariasahi,35.2167,137.0333,Japan,JP,Aichi,,82336,82336
Kaneyama,31.3833,130.8500,Japan,JP,Kagoshima,,82335,54692
Muroran,42.3172,140.9881,Japan,JP,Hokkaidō,,81580,81580
Ōmihachiman,35.1283,136.0981,Japan,JP,Shiga,,81545,81545
Kimitsu,35.3306,139.9025,Japan,JP,Chiba,,81355,81355
Nagaoka,34.9267,135.6956,Japan,JP,Kyōto,,80423,80423
Akiruno,35.7289,139.2942,Japan,JP,Tōkyō,,79600,79600
Iwamizawa,43.1961,141.7758,Japan,JP,Hokkaidō,,79361,79361
Natori-shi,38.1717,140.8919,Japan,JP,Miyagi,,79250,79250
Hannō,35.8558,139.3278,Japan,JP,Saitama,,79169,79169
Maizuru,35.4500,135.3333,Japan,JP,Kyōto,,78730,78730
Mooka,36.4333,140.0167,Japan,JP,Tochigi,,78665,78665
Gyōda,36.1389,139.4558,Japan,JP,Saitama,,78488,78488
Nikkō,36.7198,139.6982,Japan,JP,Tochigi,,77027,77027
Daisen,39.4531,140.4756,Japan,JP,Akita,,76164,76164
Ryūgasaki,35.9167,140.1833,Japan,JP,Ibaraki,,76055,76055
Fukuchiyama,35.2967,135.1264,Japan,JP,Kyōto,,75924,75924
Nakatsugawa,35.4875,137.5006,Japan,JP,Gifu,,75500,75500
Kunitachi,35.6839,139.4414,Japan,JP,Tōkyō,,75133,75133
Tatebayashi,36.2450,139.5422,Japan,JP,Gunma,,73991,73991
Tatsunochō-tominaga,34.8581,134.5456,Japan,JP,Hyōgo,,73952,73952
Yurihonjō,39.3858,140.0489,Japan,JP,Akita,,73840,73840
Kasama,36.3450,140.3042,Japan,JP,Ibaraki,,73521,73521
Shibukawa,36.4833,139.0000,Japan,JP,Gunma,,73064,73064
Ōtawara,36.8667,140.0167,Japan,JP,Tochigi,,72923,72923
Hekinan,34.8833,137.0000,Japan,JP,Aichi,,72480,72480
Yoshikawa,35.8958,139.8556,Japan,JP,Saitama,,72139,72139
Chiryū,35.0000,137.1167,Japan,JP,Aichi,,71907,71907
Ishioka,36.1833,140.2833,Japan,JP,Ibaraki,,71851,71851
Musashimurayama,35.7547,139.3875,Japan,JP,Tōkyō,,71183,71183
Yawata-shimizui,34.8756,135.7078,Japan,JP,Kyōto,,70373,70373
Tsurugashima,35.9344,139.3931,Japan,JP,Saitama,,70067,70067
Uwajima,33.2233,132.5606,Japan,JP,Ehime,,69639,69639
Rittō,35.0217,135.9981,Japan,JP,Shiga,,69598,69598
Toyoake,35.0625,137.0089,Japan,JP,Aichi,,69389,69389
Kashima,35.9658,140.6450,Japan,JP,Ibaraki,,67001,67001
Saiki,32.9603,131.8994,Japan,JP,Ōita,,66497,66497
Yachimata,35.6658,140.3183,Japan,JP,Chiba,,66430,66430
Hashima,35.3167,136.7000,Japan,JP,Gifu,,66312,66312
Ina,35.8275,137.9539,Japan,JP,Nagano,,65670,65670
Kitamoto,36.0269,139.5300,Japan,JP,Saitama,,65191,65191
Tomigusuku,26.1772,127.6811,Japan,JP,Okinawa,,64850,64850
Kurihara,38.7303,141.0214,Japan,JP,Miyagi,,63689,63689
Asahi,35.7203,140.6467,Japan,JP,Chiba,,63507,63507
Nago,26.5917,127.9775,Japan,JP,Okinawa,,63060,63060
Tendō,38.3622,140.3783,Japan,JP,Yamagata,,61981,61981
Tago,38.2939,141.0044,Japan,JP,Miyagi,,61937,61937
Shiroi,35.7917,140.0564,Japan,JP,Chiba,,61673,61673
Hasuda,35.9942,139.6622,Japan,JP,Saitama,,61473,61473
Hatogaya-honchō,35.8267,139.7412,Japan,JP,Saitama,,61379,61379
Aisai,35.1500,136.7333,Japan,JP,Aichi,,60914,60914
Tsushima,35.1833,136.7333,Japan,JP,Aichi,,60908,60908
Itoman,26.1181,127.6872,Japan,JP,Okinawa,,60903,60903
Shimotsuke,36.3872,139.8422,Japan,JP,Tochigi,,59404,59404
Koga,33.7333,130.4667,Japan,JP,Fukuoka,,59349,59349
Jōsō,36.0167,139.9833,Japan,JP,Ibaraki,,59223,59223
Chichibu,35.9917,139.0856,Japan,JP,Saitama,,59101,59101
Tahara,34.6414,137.1831,Japan,JP,Aichi,,59015,59015
Koja,26.3344,127.8057,Japan,JP,Okinawa,,58658,58658
Ishikari,43.1783,141.3067,Japan,JP,Hokkaidō,,58284,58284
Kosai,34.7186,137.5317,Japan,JP,Shizuoka,,57682,57682
Tōgane,35.5600,140.3661,Japan,JP,Chiba,,57560,57560
Tokoname,34.8833,136.8333,Japan,JP,Aichi,,57507,57507
Minokamo,35.4333,137.0167,Japan,JP,Gifu,,57007,57007
Zushi,35.2948,139.5781,Japan,JP,Kanagawa,,56996,56996
Fussa,35.7386,139.3267,Japan,JP,Tōkyō,,56713,56713
Kudamatsu,34.0150,131.8703,Japan,JP,Yamaguchi,,56661,56661
Tama,34.4919,133.9458,Japan,JP,Okayama,,56431,56431
Mukōchō,34.9486,135.6983,Japan,JP,Kyōto,,56152,56152
Nōgata,33.7439,130.7297,Japan,JP,Fukuoka,,55705,55705
Toki,35.3525,137.1833,Japan,JP,Gifu,,55388,55388
Chino,35.9956,138.1589,Japan,JP,Nagano,,55018,55018
Hidaka,35.9078,139.3392,Japan,JP,Saitama,,54728,54728
Annaka,36.3264,138.8872,Japan,JP,Gunma,,54602,54602
Sakurai,34.5189,135.8519,Japan,JP,Nara,,54346,54346
Hamura,35.7672,139.3111,Japan,JP,Tōkyō,,53970,53970
Funato,34.2564,135.3111,Japan,JP,Wakayama,,53714,53714
Minami-Sōma,37.6422,140.9572,Japan,JP,Fukushima,,52619,52619
Shiraoka,36.0189,139.6769,Japan,JP,Saitama,,52103,52103
Tomiya,38.4000,140.8953,Japan,JP,Miyagi,,51859,51859
Bandō,36.0483,139.8889,Japan,JP,Ibaraki,,51511,51511
Tsukubamirai,35.9631,140.0372,Japan,JP,Ibaraki,,51134,51134
Sakaidechō,34.3164,133.8606,Japan,JP,Kagawa,,50577,50577
Arao,32.9867,130.4333,Japan,JP,Kumamoto,,50570,50570
Yūki,36.3000,139.8833,Japan,JP,Ibaraki,,50218,50218
Yasu,35.0675,136.0258,Japan,JP,Shiga,,50049,50049
Miyoshi,34.8058,132.8517,Japan,JP,Hiroshima,,50046,50046
Satte,36.0781,139.7258,Japan,JP,Saitama,,49961,49961
Nichinan,31.6019,131.3789,Japan,JP,Miyazaki,,49899,49899
Tōkamachi,37.1275,138.7557,Japan,JP,Niigata,,49472,49472
Tomisato,35.7267,140.3431,Japan,JP,Chiba,,49470,49470
Suzaka,36.6511,138.3069,Japan,JP,Nagano,,49393,49393
Hikari,33.9617,131.9422,Japan,JP,Yamaguchi,,49013,49013
Nomimachi,36.4375,136.4961,Japan,JP,Ishikawa,,48860,48860
Takahama,34.9276,136.9877,Japan,JP,Aichi,,48685,48685
Omitama,36.2394,140.3525,Japan,JP,Ibaraki,,48555,48555
Suzukawa,35.3731,139.3842,Japan,JP,Kanagawa,,48532,48532
Suwa,36.0392,138.1142,Japan,JP,Nagano,,48309,48309
Ishigaki,24.3333,124.1500,Japan,JP,Okinawa,,48258,48258
Sanmu,35.6028,140.4136,Japan,JP,Chiba,,48196,48196
Ami,36.0308,140.2150,Japan,JP,Ibaraki,,48072,48072
Ena,35.4494,137.4128,Japan,JP,Gifu,,47999,47999
Iwakura,35.2833,136.8667,Japan,JP,Aichi,,47975,47975
Higashine,38.4314,140.3911,Japan,JP,Yamagata,,47747,47747
Shimotsuchō-kominami,34.1556,135.2092,Japan,JP,Wakayama,,47697,47697
Tonami,36.6500,136.9667,Japan,JP,Toyama,,47638,47638
Hitachi-ota,36.5383,140.5311,Japan,JP,Ibaraki,,47586,47586
Tomioka,36.2600,138.8900,Japan,JP,Gunma,,46928,46928
Noboribetsu,42.4128,141.1067,Japan,JP,Hokkaidō,,46838,46838
Nakai,33.5756,133.6414,Japan,JP,Kōchi,,46567,46567
Kurayoshi,35.4300,133.8256,Japan,JP,Tottori,,46269,46269
Takashima,35.3528,136.0356,Japan,JP,Shiga,,46246,46246
Shimeo,33.5914,130.4797,Japan,JP,Fukuoka,,46207,46207
Kasaoka,34.5072,133.5072,Japan,JP,Okayama,,46080,46080
Tamagawa,33.6317,130.7997,Japan,JP,Fukuoka,,45946,45946
Hokota,36.1586,140.5164,Japan,JP,Ibaraki,,45910,45910
Shima,34.3283,136.8306,Japan,JP,Mie,,45834,45834
Hokuto,41.8242,140.6528,Japan,JP,Hokkaidō,,45661,45661
Kariya,34.7550,134.3903,Japan,JP,Hyōgo,,45473,45473
Inuma,36.0000,139.6239,Japan,JP,Saitama,,45065,45065
Masuda,34.6750,131.8428,Japan,JP,Shimane,,44474,44474
Hagi,34.4078,131.3989,Japan,JP,Yamaguchi,,44118,44118
Otofuke,42.9942,143.1981,Japan,JP,Hokkaidō,,44049,44049
Sugito,36.0256,139.7367,Japan,JP,Saitama,,43755,43755
Himi,36.8500,136.9833,Japan,JP,Toyama,,43747,43747
Shinshiro,34.9000,137.5000,Japan,JP,Aichi,,43620,43620
Kobayashi,31.9967,130.9728,Japan,JP,Miyazaki,,43114,43114
Taketoyo,34.8500,136.9167,Japan,JP,Aichi,,43095,43095
Makinohara,34.7400,138.2247,Japan,JP,Shizuoka,,43061,43061
Taniyama-chūō,31.5211,130.5176,Japan,JP,Kagoshima,,42683,42683
Futtsu,35.3042,139.8569,Japan,JP,Chiba,,42280,42280
Yuzawa,39.1644,140.4958,Japan,JP,Akita,,41601,41601
Shimotsuma,36.1844,139.9675,Japan,JP,Ibaraki,,41499,41499
Kitaibaraki,36.8019,140.7511,Japan,JP,Ibaraki,,41352,41352
Obita,32.8253,129.8750,Japan,JP,Nagasaki,,41341,41341
Nanbei,35.3206,139.1000,Japan,JP,Kanagawa,,41259,41259
Katsuren-haebaru,26.1911,127.7286,Japan,JP,Okinawa,,40541,40541
Komono,35.0200,136.5075,Japan,JP,Mie,,40329,40329
Ōzu,33.5064,132.5447,Japan,JP,Ehime,,40289,40289
Itoigawa,37.0333,137.8500,Japan,JP,Niigata,,40200,40200
Kasumigaura,36.1519,140.2372,Japan,JP,Ibaraki,,39993,39993
Kurobeshin,36.8667,137.4500,Japan,JP,Toyama,,39718,39718
Nakama,33.8167,130.7090,Japan,JP,Fukuoka,,39634,39634
Takikawa,43.5578,141.9106,Japan,JP,Hokkaidō,,39266,39266
Mibu,36.4272,139.8039,Japan,JP,Tochigi,,39151,39151
Ōmagari,39.4531,140.4754,Japan,JP,Akita,,39048,39048
Higashimatsushima,38.4264,141.2106,Japan,JP,Miyagi,,38880,38880
Inashiki,35.9567,140.3239,Japan,JP,Ibaraki,,38853,38853
Hitachiomiya,36.5517,140.4119,Japan,JP,Ibaraki,,38836,38836
Gujō,35.7486,136.9644,Japan,JP,Gifu,,38747,38747
Sakuragawa,36.3272,140.0906,Japan,JP,Ibaraki,,38677,38677
Miyoshidai,35.8283,139.5267,Japan,JP,Saitama,,38380,38380
Ibara,34.5978,133.4639,Japan,JP,Okayama,,38236,38236
Umi,33.5683,130.5100,Japan,JP,Fukuoka,,37713,37713
Katsuragi,34.4892,135.7267,Japan,JP,Nara,,37225,37225
Kanie,35.1322,136.7869,Japan,JP,Aichi,,36782,36782
Tsubata,36.6700,136.7403,Japan,JP,Ishikawa,,36728,36728
Kannan,35.0894,138.9453,Japan,JP,Shizuoka,,36607,36607
Komatsushimachō,34.0047,134.5906,Japan,JP,Tokushima,,36123,36123
Kanada,33.7761,130.9806,Japan,JP,Fukuoka,,36075,36075
Usuki,33.1258,131.8047,Japan,JP,Ōita,,35681,35681
Miyajima,33.1525,130.4747,Japan,JP,Kumamoto,,35665,35665
Rifu,38.3308,140.9769,Japan,JP,Miyagi,,35521,35521
Minami-Bōsō,35.0433,139.8403,Japan,JP,Chiba,,35454,35454
Morohongō,35.9417,139.3161,Japan,JP,Saitama,,35370,35370
Kamata,33.5633,130.7117,Japan,JP,Fukuoka,,35208,35208
Ōzu,32.8789,130.8683,Japan,JP,Kumamoto,,34975,34975
Kahoku,36.7200,136.7067,Japan,JP,Ishikawa,,34936,34936
Iyo,33.7575,132.7039,Japan,JP,Ehime,,34927,34927
Abashiri,44.0206,144.2736,Japan,JP,Hokkaidō,,34640,34640
Uonuma,37.2333,138.9667,Japan,JP,Niigata,,34112,34112
Minamishiro,36.0225,139.7228,Japan,JP,Saitama,,34012,34012
Shōbara,34.8578,133.0167,Japan,JP,Hiroshima,,33409,33409
Kamaishi,39.2758,141.8856,Japan,JP,Iwate,,33061,33061
Wakabadai,45.4000,141.7000,Japan,JP,Hokkaidō,,33036,33036
Shingū,33.7153,130.4467,Japan,JP,Fukuoka,,33017,33017
Kuji,40.1903,141.7753,Japan,JP,Iwate,,32813,32813
Mashiki,32.7914,130.8164,Japan,JP,Kumamoto,,32587,32587
Sakaiminato,35.5397,133.2317,Japan,JP,Shimane,,32503,32503
Nagato,34.3711,131.1822,Japan,JP,Yamaguchi,,32183,32183
Ōdachō-ōda,35.1922,132.4997,Japan,JP,Shimane,,32102,32102
Yorii,36.1183,139.1931,Japan,JP,Saitama,,32039,32039
Namegata,35.9903,140.4892,Japan,JP,Ibaraki,,31828,31828
Komagane,35.7289,137.9339,Japan,JP,Nagano,,31763,31763
Shimizuchō,35.0992,138.9028,Japan,JP,Shizuoka,,31652,31652
Zentsujichó,34.2283,133.7872,Japan,JP,Kagawa,,31620,31620
Kuroishi,40.6428,140.5944,Japan,JP,Aomori,,31604,31604
Katagami,39.8833,139.9889,Japan,JP,Akita,,31558,31558
Ayabe,35.2989,135.2586,Japan,JP,Kyōto,,31537,31537
Yawatahama-shi,33.4631,132.4233,Japan,JP,Ehime,minor,31363,31363
Shimotoba,34.8839,135.6628,Japan,JP,Kyōto,,31292,31292
Yaita,36.8067,139.9242,Japan,JP,Tochigi,,31145,31145
Ōiso,35.3069,139.3114,Japan,JP,Kanagawa,,31121,31121
Sasaguri,33.6156,130.5511,Japan,JP,Fukuoka,,31092,31092
Tawaramoto,34.5542,135.7931,Japan,JP,Nara,,30950,30950
Kaminokawa,36.4392,139.9100,Japan,JP,Tochigi,,30886,30886
Hirakawachō,40.5842,140.5664,Japan,JP,Aomori,,30326,30326
Motomiya,37.5133,140.3939,Japan,JP,Fukushima,,30253,30253
Tsuruno,40.8089,140.3800,Japan,JP,Aomori,,30164,30164
Kaita,34.3722,132.5361,Japan,JP,Hiroshima,,29793,29793
Masaki,33.7875,132.7114,Japan,JP,Ehime,,29681,29681
Togitsu,32.8333,129.8500,Japan,JP,Nagasaki,,29025,29025
Hanawa,40.2158,140.7883,Japan,JP,Akita,,28929,28929
Oyabe,36.6833,136.8667,Japan,JP,Toyama,,28634,28634
Matsubushi,35.9258,139.8153,Japan,JP,Saitama,,28494,28494
Izu,34.9767,138.9469,Japan,JP,Shizuoka,,28493,28493
Sue,33.5872,130.5072,Japan,JP,Fukuoka,,28489,28489
Ogawa,36.0567,139.2619,Japan,JP,Saitama,,28386,28386
Aioi,34.8036,134.4681,Japan,JP,Hyōgo,,28350,28350
Chatan,26.3200,127.7639,Japan,JP,Okinawa,,28167,28167
Obama,35.4956,135.7467,Japan,JP,Fukui,,28142,28142
Ikata-chō,33.4883,132.3542,Japan,JP,Ehime,minor,8253,8253
Yamaguchi,34.1782,131.4735,Japan,JP,Yamaguchi,admin,,
Kozakai-chō,34.8011,137.3588,Japan,JP,Aichi,minor,,
Uchimaru,40.5144,141.4927,Japan,JP,Aomori,minor,,
Onagawa Chō,38.4449,141.4327,Japan,JP,Miyagi,minor,,
Hirado,33.3681,129.5537,Japan,JP,Nagasaki,minor,,
Furudate,40.5293,141.3055,Japan,JP,Aomori,minor,,
